Job_Title,Company,Location,Level,Job_Type,Max_Salary ,Min_Salary ,Salary_Range,Currency,Required_Skills,Benefits,Onsite_Remote
Data Analyst,"Take-Two Interactive Software, Inc.","New York City, United States",Senior-level,Full Time,85000,50000,USD 50000 - 85000,USD ,"Data management, ETL, Excel, SQL, Tableau",Team events,Onsite
"Data Analyst, Federal Civilian (remote)",Ad Hoc,"Washington, DC",Senior-level,Full Time,115000,81000,USD 81000 - 115000,USD ,"Data analysis, Python, R, Security, SQL, UX","k matching, Career development, Health care, Insurance, Unlimited paid time off",Onsite
Data Analyst | Global Analytics Team,Gympass,"New York, US (remote)",Senior-level,Full Time,85000,50000,USD 50000 - 85000,USD ,"Airflow, SQL","Career development, Fitness  gym, Flex hours, Flex vacation, Health care,",Remote
Data Analyst,SumUp,"Berlin, Germany",Senior-level,Full Time,85000,50000,USD 50000 - 85000,USD ,"Airflow, AWS, Data pipelines, FinTech, FiveTran, KPIs, Metabase,","Flex vacation, Startup environment, Team events",Onsite
Senior Data Analyst,Capco,India - Bengaluru,Senior-level,Full Time,85000,50000,USD 50000 - 85000,USD ,"Agile, Banking, Big Data, Data analysis, Data Analytics, ETL, Finance,","Career development, Flat hierarchy",Onsite
Senior Data Analyst,Collectors,US Remote,Senior-level,Full Time,85000,50000,USD 50000 - 85000,USD ,"Data Warehousing, Engineering, Security, SQL, Testing","k matching, Competitive pay, Flex hours, Flex vacation, Health care,",Remote
Data Analyst - Data Governance Specialist (Remote in EU or onsite),FREE NOW,Barcelona,Senior-level,Full Time,85000,50000,USD 50000 - 85000,USD ,"Computer Science, Data management, Engineering, ETL, Python, Research, SQL","Career development, Equity, Fitness  gym, Flex hours, Home office stipend,",Onsite
"Senior Data Scientist, Machine Learning - Game Analytics",Rockstar Games,"Manhattan, New York, United States",Senior-level,Full Time,135000,68000,USD 68000 - 135000,USD ,"Big Data, Classification, Computer Science, Data Mining, Data pipelines, Hadoop, Machine Learning,",Career development,Onsite
Senior Data Analyst,DigitalOcean,United States and Canada,Senior-level,Full Time,85000,50000,USD 50000 - 85000,USD ,"Computer Science, Economics, Engineering, Excel, Finance, KPIs, Looker,","Competitive pay, Conferences, Equity, Health care, Insurance,",Onsite
"Data Analyst, Strategic Partnerships( Bangkok based)",Agoda,Bangkok,Senior-level,Full Time,85000,50000,USD 50000 - 85000,USD ,"AB testing, Business Intelligence, Computer Science, Consulting, Data analysis, Data Analytics, Data Mining,","Career development, Startup environment",Onsite
People Data Analyst,Cabify,Madrid,Senior-level,Full Time,48000,35000,USD 35000 - 48000,USD ,"Business Analytics, Business Intelligence, Data management, Data Studio, Data visualization, Economics, Engineering,","Career development, Flex hours, Health care, Startup environment, Team events",Onsite
Senior Data Analyst,ClearScore,"Toronto, Ontario, Canada",Mid-level,Full Time,90000,51000,USD 51000 - 90000,USD ,"Credit risk, Economics, Finance, FinTech, Mathematics, SQL, Statistics","Career development, Flex hours, Flex vacation, Health care, Parental leave,",Onsite
Senior Data Analyst,"TechFlow, Inc","Arlington, Virginia, United States - Remote",Mid-level,Full Time,90000,51000,USD 51000 - 90000,USD ,"Agile, AWS, Data analysis, Data visualization, Engineering, Excel, QuickSight,","k matching, Career development, Equity, Health care, Insurance",Remote
Sr. Data Analyst - Sales Operations (GTM),Included Health,Remote,Senior-level,Full Time,85000,50000,USD 50000 - 85000,USD ,"Computer Science, Data Mining, Data visualization, Excel, Looker, Mathematics, SQL,",Startup environment,Remote
